destination,country,description,activities,best_season,budget_level,travel_style
Banff,Canada,"A mountain town surrounded by turquoise lakes, forests, and dramatic peaks.",hiking; canoeing; wildlife viewing; skiing,summer or winter,high,adventure; nature
Lisbon,Portugal,"A sunny coastal city with historic streets, viewpoints, tiled buildings, and affordable food.",walking tours; museums; food tasting; beaches,spring or fall,medium,culture; food; city
Kyoto,Japan,"A historic city known for temples, gardens, traditional neighborhoods, and seasonal scenery.",temple visits; gardens; cultural tours; food,spring or fall,medium,culture; history; relaxing
Reykjavik,Iceland,"A small northern capital that provides access to waterfalls, volcanoes, glaciers, and geothermal pools.",road trips; hot springs; hiking; northern lights,summer or winter,high,adventure; nature
Bali,Indonesia,"A tropical island with beaches, rice terraces, temples, wellness retreats, and lively towns.",surfing; yoga; temple visits; hiking,dry season,low,relaxing; adventure; culture
Paris,France,"A major European city famous for museums, architecture, cafés, fashion, and historic landmarks.",museums; dining; shopping; sightseeing,spring or fall,high,culture; romance; city
Costa Rica,Costa Rica,"A nature-focused destination with rainforests, beaches, volcanoes, and rich wildlife.",zip-lining; hiking; surfing; wildlife viewing,dry season,medium,adventure; nature
New York City,United States,"A fast-paced city with famous landmarks, diverse neighborhoods, theatre, museums, and food.",theatre; museums; shopping; food tours,spring or fall,high,city; entertainment; food
Marrakesh,Morocco,"A colourful historic city with markets, gardens, traditional architecture, and North African cuisine.",market visits; food tours; gardens; day trips,spring or fall,medium,culture; food; history
Queenstown,New Zealand,"A lakeside mountain town known for outdoor sports, scenery, hiking, and adventure activities.",hiking; skiing; boating; adventure sports,summer or winter,high,adventure; nature
Barcelona,Spain,"A Mediterranean city with beaches, unusual architecture, markets, nightlife, and art.",beaches; architecture tours; food; museums,spring or fall,medium,city; culture; food
Prague,Czech Republic,"A walkable historic city with castles, bridges, medieval streets, and relatively affordable travel.",sightseeing; castles; museums; walking tours,spring or fall,low,history; city; budget
Cape Town,South Africa,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,medium,relaxing; culture
Johannesburg,South Africa,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore South Africa.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Durban,South Africa,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Kruger National Park,South Africa,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
